cty code,cty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1063,AL: Greene County,0,0.63,8.05,3.66,0,0,0,0,0.57,7.11,0.03,5.4,11.7,0,0,0,4.71,8.21,0,0,0,0,0,0,6.37,3.71,36.41,0.11,0,0
1065,AL: Hale County,0,0.54,7.39,2.95,0,0,0,0,0.03,6.63,0,3.42,11.44,0,0,0,2.72,9.85,0,0,0,0,0,0,5.04,6.1,42.45,0.18,0,0
1067,AL: Henry County,0,1.03,1.53,0.57,0,0,0,0,0,0.67,1.3,0,22.52,0,0,0,0,18.23,0.31,0.18,0,0,0,0,0,7.11,6.87,21.98,13.87,0
1069,AL: Houston County,0,0.13,1.06,0.46,0,0,0,0,0,0,0.58,0,32.1,0.01,0,0,0,21.92,2.39,0,0,0,0,0,0,6.77,4.73,26.65,17.98,0
1071,AL: Jackson County,0,24.86,15.95,12.14,0,0,0,0,0,8.83,0.02,26.1,1.62,0,0,0,6.58,5.11,0,0,0,7.03,8.93,0,34.39,0,2.36,0,0,0
1073,AL: Jefferson County,0,4.93,22.62,3.8,0,0,0,0,2.1,20.31,0.65,15.73,5.69,0,0,0,3.24,8.43,0,0,0,0.12,0,0,17.01,5.14,24.31,0,0,0
1075,AL: Lamar County,0,23.32,15.91,6.95,0,0,0,0,3.96,16.04,0,15.5,3.94,0.12,0,0,12.47,3.23,0,0,0,1.4,0.2,0,23.21,0,8.42,0.01,0,0
1077,AL: Lauderdale County,0,66.48,10.33,5.99,0,0,0,0,2.96,7.41,0,16.48,0,0,0,0,12.49,1.51,0,0,0,11.67,3.3,0,37.5,0,0,0,0,0
1079,AL: Lawrence County,0,50.58,16.54,4.53,0,0,0,0,2.89,9.76,0,17.63,1.53,0,0,0,8.87,2.44,0,0,0,5.5,2.37,0,34.85,0.04,0.7,0,0,0
1081,AL: Lee County,0,1.79,7.02,1.8,0,0,0,0,0,16.6,4.97,2.46,7.35,0,0,0,0,15.63,0,0,0,0,0,0,4.04,9.03,35.58,12.36,1.5,0
1083,AL: Limestone County,0,52.04,14.76,5.69,0,0,0,0,0.57,7.53,0,18.28,0.33,0,0,0,8.79,2.62,0,0,0,7.97,4.24,0,38.29,0.19,0.2,0,0,0
1085,AL: Lowndes County,0,0,3.29,0.87,0,0,0,0,0,8.44,2.97,0.2,11.78,0,0,0,0,11.7,0,0,0,0,0,0,3.31,10.51,30.62,8.28,1.62,0
1087,AL: Macon County,0,1.38,5.47,1.21,0,0,0,0,0,15.78,4.54,0.13,8.14,0,0,0,0,13.83,0,0,0,0,0,0,3.89,10.5,27.99,11.49,2.07,0
1089,AL: Madison County,0,36.43,15.67,7.95,0,0,0,0,0.07,8.67,0,22.03,0.69,0,0,0,7.77,3.87,0,0,0,7.01,5.9,0,37.63,0,1.33,0,0,0
1091,AL: Marengo County,0,0,2.94,1.74,0,0,0,0,0,2.41,0,2.03,16.67,0,0,0,1.64,10.43,0,0,0,0,0,0,2.15,6.2,35.01,4.21,0,0
1093,AL: Marion County,0,40.65,15.02,6.39,0,0,0,0,4.91,15.06,0,17.97,1.84,0,0,0,12.87,2.58,0,0,0,3.77,0.91,0,30.49,0,3.79,0,0,0
1095,AL: Marshall County,0,20.25,20.44,8.27,0,0,0,0,0.62,14.52,0.07,23.95,1.56,0,0,0,5.25,5.13,0,0,0,3.17,2.81,0,33.06,0,5.25,0,0,0
1097,AL: Mobile County,0,0.15,1.14,1,0,0.14,0,0,2.25,0,0,1.87,18.49,0,0,0,0,13.25,0,0,0,0,0,0.6,1,1.59,3.62,13.21,13.65,0.29
1099,AL: Monroe County,0,0,0.95,0.86,0,0,0.01,0,0,1.01,0,0,21.63,0,0,0,0,11.07,0,0,0,0,0,0,1.11,5.94,13.63,15.86,5.29,0
1101,AL: Montgomery County,0,0.52,4.15,0.96,0,0,0,0,0,13.18,5.01,0,10.27,0,0,0,0,12.43,0,0,0,0,0,0,3.96,11.1,26.34,9.91,1.99,0.01
